CreatedById,CourseId,Id,QuestionText,QuestionType,Marks,DifficultyIndex,CorrectRate,TimesAnswered
5,89,2202,What is normalization in databases?,MCQ,5,0.833,0.167,42.0
1,123,3130,Which OSI layer handles routing?,MCQ,2,0.833,0.167,48.0
6,4,115,What is the time complexity of binary search?,MCQ,2,0.833,0.167,54.0
4,181,4595,Which OSI layer handles routing?,MCQ,2,0.833,0.167,42.0
6,20,478,Which OSI layer handles routing?,MCQ,5,0.833,0.167,24.0
13,113,2834,Which sorting algorithm has worst-case O(n²)?,MCQ,5,0.833,0.167,36.0
3,186,4772,What is the time complexity of binary search?,MCQ,2,0.833,0.167,66.0
2,132,3408,What is a deadlock?,MCQ,2,0.833,0.167,30.0
2,106,2606,What is a foreign key?,MCQ,3,0.833,0.167,42.0
13,67,1503,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.833,0.167,48.0
4,140,3517,Overfitting in ML means?,MCQ,2,0.833,0.167,18.0
9,156,4053,Output of 2**3 in Python?,MCQ,1,0.833,0.167,60.0
13,115,2898,Which data structure uses LIFO?,MCQ,2,0.833,0.167,12.0
2,40,865,What is the time complexity of binary search?,MCQ,3,0.831,0.169,65.0
7,29,645,Which protocol is stateless?,MCQ,3,0.831,0.169,59.0
5,165,4276,What does SQL stand for?,MCQ,1,0.831,0.169,59.0
9,156,4051,What does SQL stand for?,MCQ,3,0.831,0.169,59.0
12,43,958,What does SQL stand for?,MCQ,3,0.831,0.169,59.0
7,114,2872,What does OOP stand for?,MCQ,1,0.831,0.169,71.0
14,60,1318,What is a foreign key?,MCQ,2,0.83,0.17,53.0
12,141,3539,Which data structure uses LIFO?,MCQ,3,0.83,0.17,53.0
13,115,2896,What does SQL stand for?,MCQ,3,0.829,0.171,35.0
5,61,1381,Which OSI layer handles routing?,MCQ,3,0.829,0.171,35.0
13,113,2835,Which protocol is stateless?,MCQ,2,0.829,0.171,35.0
10,31,688,What is a deadlock?,MCQ,2,0.829,0.171,35.0
5,155,3996,Which protocol is stateless?,MCQ,1,0.828,0.172,29.0
11,28,5130,Which sorting algorithm has worst-case O(n²)?,MCQ,5,0.828,0.172,58.0
1,105,2551,Overfitting in ML means?,MCQ,2,0.828,0.172,64.0
6,111,2754,Which data structure uses LIFO?,MCQ,1,0.827,0.173,52.0
11,52,1160,Which OSI layer handles routing?,MCQ,3,0.826,0.174,23.0
12,176,4493,What does SQL stand for?,MCQ,2,0.826,0.174,23.0
3,111,2745,Which OSI layer handles routing?,MCQ,5,0.825,0.175,63.0
12,156,4068,What is a deadlock?,MCQ,5,0.825,0.175,63.0
8,148,3753,Which data structure uses LIFO?,MCQ,2,0.825,0.175,57.0
13,129,3324,Which algorithm underlies RSA?,MCQ,2,0.825,0.175,57.0
6,184,4725,Which algorithm underlies RSA?,MCQ,2,0.824,0.176,74.0
1,159,4140,What does SQL stand for?,MCQ,2,0.824,0.176,34.0
2,73,1678,Which data structure uses LIFO?,MCQ,2,0.824,0.176,51.0
13,118,3018,Overfitting in ML means?,MCQ,2,0.823,0.177,62.0
5,127,3177,What does SQL stand for?,MCQ,1,0.822,0.178,45.0
14,181,4626,What is a foreign key?,MCQ,2,0.821,0.179,56.0
6,68,1541,Which protocol is stateless?,MCQ,2,0.821,0.179,39.0
9,156,4050,What is the time complexity of binary search?,MCQ,3,0.821,0.179,56.0
3,37,806,Which protocol is stateless?,MCQ,2,0.821,0.179,56.0
2,110,2714,What is normalization in databases?,MCQ,5,0.821,0.179,28.0
15,29,634,What is the time complexity of binary search?,MCQ,5,0.821,0.179,28.0
10,168,4365,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.821,0.179,56.0
10,168,4364,What is normalization in databases?,MCQ,3,0.821,0.179,56.0
2,8,179,Which protocol is stateless?,MCQ,2,0.82,0.18,50.0
8,76,1745,Which algorithm underlies RSA?,MCQ,2,0.82,0.18,61.0
9,155,4002,What does API stand for?,MCQ,3,0.82,0.18,50.0
13,28,602,Overfitting in ML means?,MCQ,5,0.819,0.181,83.0
8,69,1556,What does SQL stand for?,MCQ,3,0.818,0.182,33.0
8,69,1558,Which data structure uses LIFO?,MCQ,2,0.818,0.182,22.0
10,82,2005,What is normalization in databases?,MCQ,2,0.818,0.182,55.0
4,54,1225,Which is NOT a supervised learning algorithm?,MCQ,1,0.818,0.182,33.0
9,87,2155,What is a deadlock?,MCQ,3,0.818,0.182,11.0
4,23,490,What is a foreign key?,MCQ,2,0.817,0.183,60.0
8,55,1238,What does API stand for?,MCQ,2,0.816,0.184,38.0
5,120,3082,Overfitting in ML means?,MCQ,1,0.816,0.184,38.0
15,117,2995,Which protocol is stateless?,MCQ,1,0.816,0.184,49.0
1,65,5279,Which OSI layer handles routing?,MCQ,2,0.815,0.185,54.0
11,5,134,Which is NOT a supervised learning algorithm?,MCQ,3,0.815,0.185,27.0
6,31,706,Output of 2**3 in Python?,MCQ,1,0.815,0.185,27.0
4,105,2564,Which algorithm underlies RSA?,MCQ,5,0.815,0.185,65.0
11,161,4199,What is a foreign key?,MCQ,2,0.815,0.185,27.0
7,94,2333,Which data structure uses LIFO?,MCQ,5,0.814,0.186,43.0
9,74,1697,Which protocol is stateless?,MCQ,5,0.814,0.186,70.0
7,181,4641,Which algorithm underlies RSA?,MCQ,5,0.814,0.186,59.0
7,94,2334,Overfitting in ML means?,MCQ,1,0.814,0.186,43.0
8,101,2455,What is the time complexity of binary search?,MCQ,2,0.814,0.186,70.0
15,91,2246,Which OSI layer handles routing?,MCQ,2,0.814,0.186,59.0
3,146,3693,What is the time complexity of binary search?,MCQ,2,0.812,0.188,69.0
5,106,2610,What does OOP stand for?,MCQ,2,0.812,0.188,80.0
12,141,3547,What is a deadlock?,MCQ,2,0.812,0.188,48.0
12,48,1069,What is a deadlock?,MCQ,2,0.812,0.188,64.0
5,106,2618,What is a deadlock?,MCQ,3,0.812,0.188,80.0
13,67,1506,What does SQL stand for?,MCQ,3,0.812,0.188,16.0
11,53,1198,Which sorting algorithm has worst-case O(n²)?,MCQ,5,0.812,0.188,32.0
11,53,1194,Which OSI layer handles routing?,MCQ,3,0.812,0.188,32.0
5,103,2513,Output of 2**3 in Python?,MCQ,2,0.811,0.189,74.0
7,29,648,Which protocol is stateless?,MCQ,5,0.811,0.189,53.0
6,20,475,Overfitting in ML means?,MCQ,3,0.811,0.189,53.0
1,128,3233,What is normalization in databases?,MCQ,2,0.811,0.189,74.0
1,159,4132,Which data structure uses LIFO?,MCQ,2,0.811,0.189,37.0
9,156,4055,Which sorting algorithm has worst-case O(n²)?,MCQ,1,0.81,0.19,21.0
13,48,1093,Which algorithm underlies RSA?,MCQ,3,0.81,0.19,42.0
5,103,2509,Which algorithm underlies RSA?,MCQ,2,0.809,0.191,68.0
2,99,2422,What is a foreign key?,MCQ,3,0.809,0.191,47.0
13,67,1499,Which algorithm underlies RSA?,MCQ,2,0.809,0.191,47.0
13,72,1648,What does API stand for?,MCQ,2,0.808,0.192,52.0
3,37,805,What does OOP stand for?,MCQ,2,0.808,0.192,52.0
2,110,2717,Which OSI layer handles routing?,MCQ,2,0.808,0.192,26.0
6,111,2758,What is normalization in databases?,MCQ,5,0.808,0.192,52.0
13,186,4749,What is a deadlock?,MCQ,2,0.808,0.192,26.0
2,86,2080,Which protocol is stateless?,MCQ,5,0.808,0.192,52.0
7,191,4918,Overfitting in ML means?,MCQ,2,0.807,0.193,57.0
7,16,270,Which algorithm underlies RSA?,MCQ,5,0.806,0.194,36.0
8,19,5074,What does SQL stand for?,MCQ,3,0.806,0.194,93.0
13,115,2895,What is normalization in databases?,MCQ,2,0.806,0.194,36.0
1,159,4139,What does API stand for?,MCQ,2,0.806,0.194,36.0
4,84,2030,What is normalization in databases?,MCQ,3,0.806,0.194,31.0
13,113,2831,What does API stand for?,MCQ,5,0.806,0.194,36.0
4,143,3611,What is a foreign key?,MCQ,5,0.806,0.194,67.0
5,103,2510,What is a deadlock?,MCQ,2,0.806,0.194,72.0
8,76,1755,What does OOP stand for?,MCQ,3,0.805,0.195,41.0
7,94,2328,Overfitting in ML means?,MCQ,3,0.805,0.195,41.0
11,32,734,Which data structure uses LIFO?,MCQ,2,0.804,0.196,51.0
12,143,3594,What is the time complexity of binary search?,MCQ,1,0.804,0.196,46.0
2,8,178,What does OOP stand for?,MCQ,2,0.804,0.196,51.0
2,112,2809,What is a foreign key?,MCQ,5,0.804,0.196,46.0
14,85,2060,Which algorithm underlies RSA?,MCQ,2,0.804,0.196,46.0
3,37,802,Overfitting in ML means?,MCQ,2,0.804,0.196,56.0
13,67,1497,What does OOP stand for?,MCQ,3,0.804,0.196,46.0
12,86,2092,What does API stand for?,MCQ,2,0.804,0.196,51.0
1,105,2550,Which data structure uses LIFO?,MCQ,5,0.803,0.197,61.0
13,129,3321,What is a foreign key?,MCQ,1,0.803,0.197,61.0
8,117,2936,Which is NOT a supervised learning algorithm?,MCQ,3,0.803,0.197,71.0
8,19,5080,What does API stand for?,MCQ,5,0.802,0.198,91.0
8,19,5075,Output of 2**3 in Python?,MCQ,1,0.802,0.198,96.0
3,37,794,Output of 2**3 in Python?,MCQ,2,0.8,0.2,55.0
4,77,1791,Which data structure uses LIFO?,MCQ,5,0.8,0.2,10.0
12,48,1075,What is a foreign key?,MCQ,2,0.8,0.2,20.0
12,128,3190,What does SQL stand for?,MCQ,3,0.8,0.2,60.0
15,180,4529,What does API stand for?,MCQ,3,0.8,0.2,55.0
7,20,442,Which is NOT a supervised learning algorithm?,MCQ,2,0.8,0.2,30.0
2,49,1095,Which algorithm underlies RSA?,MCQ,2,0.8,0.2,35.0
6,51,1136,What does SQL stand for?,MCQ,3,0.8,0.2,30.0
12,156,4070,What is the time complexity of binary search?,MCQ,3,0.8,0.2,60.0
10,72,1661,What does OOP stand for?,MCQ,2,0.8,0.2,70.0
12,156,4071,What is a foreign key?,MCQ,1,0.8,0.2,60.0
14,181,4627,Which protocol is stateless?,MCQ,3,0.8,0.2,55.0
7,62,1393,What does SQL stand for?,MCQ,5,0.8,0.2,30.0
6,139,3508,What is normalization in databases?,MCQ,1,0.8,0.2,35.0
7,114,2870,What is a foreign key?,MCQ,2,0.8,0.2,70.0
6,139,3510,Which algorithm underlies RSA?,MCQ,3,0.8,0.2,10.0
5,106,2616,Overfitting in ML means?,MCQ,1,0.8,0.2,80.0
3,149,3829,Which OSI layer handles routing?,MCQ,2,0.8,0.2,5.0
2,14,241,What is normalization in databases?,MCQ,3,0.8,0.2,15.0
2,112,2810,Overfitting in ML means?,MCQ,2,0.8,0.2,45.0
2,1,5,Overfitting in ML means?,MCQ,1,0.8,0.2,30.0
4,97,2398,Which data structure uses LIFO?,MCQ,2,0.8,0.2,25.0
12,13,236,What is a deadlock?,MCQ,2,0.8,0.2,20.0
7,94,2327,Overfitting in ML means?,MCQ,3,0.8,0.2,45.0
12,48,1072,What does SQL stand for?,MCQ,2,0.8,0.2,60.0
8,69,1552,What does OOP stand for?,MCQ,2,0.8,0.2,35.0
10,76,1757,Which is NOT a supervised learning algorithm?,MCQ,2,0.8,0.2,40.0
2,1,11,Overfitting in ML means?,MCQ,3,0.8,0.2,30.0
3,37,799,What is a deadlock?,MCQ,2,0.8,0.2,55.0
1,128,3230,Which sorting algorithm has worst-case O(n²)?,MCQ,5,0.797,0.203,74.0
15,91,2241,Which algorithm underlies RSA?,MCQ,2,0.797,0.203,64.0
1,105,2552,What is a deadlock?,MCQ,2,0.797,0.203,64.0
7,114,2871,What does OOP stand for?,MCQ,1,0.797,0.203,69.0
8,117,2938,What is a foreign key?,MCQ,2,0.797,0.203,69.0
9,155,4006,What is normalization in databases?,MCQ,1,0.796,0.204,49.0
9,153,3967,Which data structure uses LIFO?,MCQ,3,0.795,0.205,39.0
5,63,1399,Which protocol is stateless?,MCQ,3,0.795,0.205,44.0
13,48,1085,Which protocol is stateless?,MCQ,2,0.795,0.205,78.0
14,53,1185,What is the time complexity of binary search?,MCQ,2,0.795,0.205,44.0
5,106,2611,What does OOP stand for?,MCQ,1,0.795,0.205,83.0
4,143,3615,What does OOP stand for?,MCQ,5,0.795,0.205,44.0
3,111,2749,Output of 2**3 in Python?,MCQ,3,0.795,0.205,44.0
6,31,697,Which algorithm underlies RSA?,MCQ,5,0.795,0.205,73.0
12,51,1124,Which data structure uses LIFO?,MCQ,2,0.795,0.205,73.0
8,19,5083,What does API stand for?,MCQ,1,0.794,0.206,63.0
13,28,605,What is a foreign key?,MCQ,2,0.794,0.206,34.0
2,99,2418,Overfitting in ML means?,MCQ,2,0.794,0.206,68.0
13,142,3586,What does API stand for?,MCQ,1,0.794,0.206,34.0
12,97,2370,Which algorithm underlies RSA?,MCQ,5,0.794,0.206,68.0
10,31,687,What is the time complexity of binary search?,MCQ,3,0.794,0.206,34.0
7,16,273,Which OSI layer handles routing?,MCQ,1,0.794,0.206,34.0
8,69,1551,Which OSI layer handles routing?,MCQ,3,0.794,0.206,34.0
5,61,1372,Which OSI layer handles routing?,MCQ,2,0.794,0.206,34.0
11,141,3566,Which OSI layer handles routing?,MCQ,5,0.794,0.206,63.0
4,23,492,Which algorithm underlies RSA?,MCQ,5,0.793,0.207,58.0
4,23,493,Which OSI layer handles routing?,MCQ,3,0.793,0.207,58.0
4,181,4602,Which algorithm underlies RSA?,MCQ,1,0.793,0.207,29.0
2,1,3,Overfitting in ML means?,MCQ,1,0.793,0.207,29.0
8,19,5078,What does API stand for?,MCQ,3,0.792,0.208,96.0
12,86,2106,Which sorting algorithm has worst-case O(n²)?,MCQ,5,0.792,0.208,24.0
7,174,4454,What is the time complexity of binary search?,MCQ,2,0.792,0.208,24.0
8,101,2458,Output of 2**3 in Python?,MCQ,2,0.792,0.208,24.0
1,65,5273,Overfitting in ML means?,MCQ,1,0.792,0.208,77.0
2,176,4502,What is normalization in databases?,MCQ,5,0.792,0.208,77.0
2,110,2719,What is the time complexity of binary search?,MCQ,2,0.792,0.208,24.0
8,76,1748,What is the time complexity of binary search?,MCQ,2,0.79,0.21,62.0
9,142,3591,Which sorting algorithm has worst-case O(n²)?,MCQ,1,0.789,0.211,19.0
5,63,1406,What is the time complexity of binary search?,MCQ,1,0.789,0.211,19.0
15,29,636,What is a deadlock?,MCQ,2,0.789,0.211,19.0
7,181,4643,What is a foreign key?,MCQ,2,0.789,0.211,19.0
2,85,2043,Which protocol is stateless?,MCQ,1,0.789,0.211,19.0
3,37,798,Which algorithm underlies RSA?,MCQ,3,0.789,0.211,57.0
13,28,592,What is normalization in databases?,MCQ,5,0.788,0.212,80.0
4,77,1783,What is the time complexity of binary search?,MCQ,2,0.788,0.212,33.0
7,98,2410,What does API stand for?,MCQ,2,0.788,0.212,52.0
14,130,3356,Which algorithm underlies RSA?,MCQ,2,0.788,0.212,33.0
7,16,274,What is the time complexity of binary search?,MCQ,5,0.788,0.212,33.0
2,112,2815,What is a foreign key?,MCQ,2,0.788,0.212,33.0
13,72,1654,What is a foreign key?,MCQ,2,0.788,0.212,52.0
1,65,5277,Which data structure uses LIFO?,MCQ,1,0.788,0.212,80.0
2,176,4513,What is normalization in databases?,MCQ,2,0.788,0.212,52.0
7,20,441,What is a foreign key?,MCQ,1,0.788,0.212,33.0
1,65,1456,What is normalization in databases?,MCQ,2,0.788,0.212,66.0
2,132,3403,Which protocol is stateless?,MCQ,2,0.788,0.212,33.0
12,97,2369,What is the time complexity of binary search?,MCQ,2,0.788,0.212,66.0
4,74,1708,What does SQL stand for?,MCQ,2,0.788,0.212,66.0
8,69,1549,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.788,0.212,33.0
5,127,3172,Which algorithm underlies RSA?,MCQ,2,0.787,0.213,47.0
4,140,3515,Which OSI layer handles routing?,MCQ,1,0.787,0.213,47.0
15,93,2304,Which protocol is stateless?,MCQ,2,0.787,0.213,61.0
3,27,565,Output of 2**3 in Python?,MCQ,3,0.787,0.213,47.0
5,127,3171,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.787,0.213,47.0
8,148,3759,Which data structure uses LIFO?,MCQ,1,0.787,0.213,61.0
1,128,3225,What does API stand for?,MCQ,1,0.787,0.213,75.0
14,85,2062,Output of 2**3 in Python?,MCQ,2,0.786,0.214,14.0
5,190,4900,What does SQL stand for?,MCQ,3,0.786,0.214,14.0
11,173,4453,Output of 2**3 in Python?,MCQ,1,0.786,0.214,28.0
3,181,4623,Which algorithm underlies RSA?,MCQ,5,0.786,0.214,14.0
10,82,2003,Which data structure uses LIFO?,MCQ,3,0.786,0.214,56.0
7,169,4392,What is a foreign key?,MCQ,5,0.786,0.214,42.0
10,76,1763,Which protocol is stateless?,MCQ,3,0.786,0.214,28.0
1,65,1450,What is a foreign key?,MCQ,1,0.785,0.215,65.0
8,156,4056,Which data structure uses LIFO?,MCQ,2,0.785,0.215,79.0
8,63,1437,Which data structure uses LIFO?,MCQ,2,0.784,0.216,37.0
5,33,756,What is a foreign key?,MCQ,2,0.784,0.216,51.0
3,71,1580,Which is NOT a supervised learning algorithm?,MCQ,5,0.783,0.217,23.0
2,99,2417,What is the time complexity of binary search?,MCQ,3,0.783,0.217,69.0
7,98,2412,Which data structure uses LIFO?,MCQ,1,0.783,0.217,23.0
15,117,2993,What is the time complexity of binary search?,MCQ,3,0.783,0.217,46.0
9,33,768,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.783,0.217,46.0
7,160,4149,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.783,0.217,69.0
14,53,1186,Which is NOT a supervised learning algorithm?,MCQ,2,0.783,0.217,46.0
11,141,3570,Overfitting in ML means?,MCQ,3,0.783,0.217,60.0
4,182,4665,Which is NOT a supervised learning algorithm?,MCQ,2,0.783,0.217,46.0
9,61,1359,What does API stand for?,MCQ,2,0.782,0.218,55.0
11,20,472,Which protocol is stateless?,MCQ,3,0.782,0.218,55.0
11,4,93,What does SQL stand for?,MCQ,3,0.781,0.219,73.0
6,184,4718,Output of 2**3 in Python?,MCQ,3,0.781,0.219,73.0
3,149,3815,Which OSI layer handles routing?,MCQ,3,0.781,0.219,32.0
12,48,1073,Which algorithm underlies RSA?,MCQ,2,0.781,0.219,64.0
3,173,4435,What does SQL stand for?,MCQ,5,0.781,0.219,73.0
9,114,2879,What is the time complexity of binary search?,MCQ,2,0.781,0.219,73.0
9,74,1699,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.781,0.219,73.0
11,32,725,What is normalization in databases?,MCQ,2,0.78,0.22,50.0
12,86,2102,Output of 2**3 in Python?,MCQ,5,0.78,0.22,59.0
10,199,5043,What is a deadlock?,MCQ,2,0.78,0.22,82.0
2,131,3395,Which sorting algorithm has worst-case O(n²)?,MCQ,5,0.78,0.22,50.0
6,111,2755,Which algorithm underlies RSA?,MCQ,2,0.78,0.22,50.0
9,155,4003,What does API stand for?,MCQ,3,0.78,0.22,50.0
2,73,1679,What is a deadlock?,MCQ,3,0.78,0.22,50.0
3,146,3692,Overfitting in ML means?,MCQ,2,0.779,0.221,68.0
2,157,4091,What is a foreign key?,MCQ,2,0.779,0.221,68.0
14,100,2442,What is the time complexity of binary search?,MCQ,3,0.778,0.222,63.0
15,52,1167,Which is NOT a supervised learning algorithm?,MCQ,1,0.778,0.222,45.0
1,65,1458,Which algorithm underlies RSA?,MCQ,2,0.778,0.222,27.0
12,128,3194,What is normalization in databases?,MCQ,3,0.778,0.222,54.0
