Id,QuizAttemptId,QuestionId,SelectedOptionId,WrittenAnswer,IsCorrect,MarksAwarded,InstructorFeedback
38182,4731,3624,10823.0,,1.0,2.0,Good effort.
62912,7833,4275,12744.0,,1.0,1.0,
80993,10073,2810,8376.0,,0.0,0.0,
47176,5857,1995,5900.0,,0.0,0.0,Good effort.
53924,6692,2614,7782.0,,0.0,0.0,Good effort.
86919,10823,95,286.0,,1.0,1.0,
56147,6975,1369,,Binary search works on sorted arrays.,1.0,1.8,
50226,6221,4635,13777.0,,0.0,0.0,Good effort.
82808,10303,3965,11811.0,,0.0,0.0,Good effort.
86642,10785,3610,,The answer relates to the concept discussed.,1.0,0.7,Good effort.
31567,3914,2325,6912.0,,0.0,0.0,Good effort.
31307,3878,2093,,Binary search works on sorted arrays.,-1.0,0.0,Good effort.
69514,8642,4426,13213.0,,1.0,1.0,
63888,7946,1086,3256.0,,1.0,5.0,
63867,7943,2208,6532.0,,1.0,2.0,
18017,2226,2712,8062.0,,0.0,0.0,
79669,9919,1405,,I believe it is the first option.,1.0,0.0,
46977,5830,2083,6157.0,,0.0,0.0,Good effort.
24907,3066,112,,Stack overflow occurs when recursion is too deep.,0.0,0.9,
30167,3740,1500,4464.0,,1.0,2.0,
24900,3065,119,354.0,,0.0,0.0,
44647,5535,2941,8792.0,,0.0,0.0,
57129,7099,4583,13629.0,,1.0,3.0,
25189,3102,4037,12016.0,,0.0,0.0,
85663,10669,14,39.0,,1.0,5.0,Good effort.
56742,7046,3998,,I believe it is the first option.,1.0,0.3,
31481,3898,4455,13292.0,,0.0,0.0,
697,90,4298,12812.0,,0.0,0.0,
67020,8317,1758,,I believe it is the first option.,-1.0,3.3,
76772,9565,5083,15111.0,,0.0,0.0,Good effort.
53516,6642,2615,7784.0,,0.0,0.0,
6225,740,4768,14155.0,,0.0,0.0,Good effort.
82414,10249,4040,12024.0,,0.0,0.0,
64345,8004,3233,9697.0,,0.0,0.0,
70762,8791,1317,,Binary search works on sorted arrays.,1.0,1.0,
43951,5448,1666,4963.0,,0.0,0.0,
72788,9055,4017,11965.0,,0.0,0.0,
18484,2278,3136,9413.0,,0.0,0.0,
77983,9722,1646,4912.0,,1.0,5.0,
49623,6155,4058,12081.0,,0.0,0.0,
2337,289,2598,,The answer relates to the concept discussed.,1.0,1.0,Good effort.
44480,5514,1450,4313.0,,1.0,1.0,Good effort.
39474,4878,1314,,I believe it is the first option.,0.0,2.6,
40512,5007,699,2054.0,,1.0,1.0,Good effort.
37831,4684,4152,12360.0,,1.0,1.0,
27556,3408,632,1852.0,,0.0,0.0,
6243,742,3602,10769.0,,1.0,2.0,
36822,4568,3900,11623.0,,0.0,0.0,
23640,2889,2565,7646.0,,0.0,0.0,
41705,5150,4194,12485.0,,0.0,0.0,
19394,2396,4620,,Stack overflow occurs when recursion is too deep.,1.0,1.0,
28409,3518,695,,,1.0,0.1,Good effort.
45149,5599,3616,10797.0,,0.0,0.0,Good effort.
58420,7267,1130,3369.0,,0.0,0.0,
8509,1034,3545,10593.0,,0.0,0.0,
5016,597,695,,,0.0,1.0,
57995,7213,1748,5209.0,,0.0,0.0,
34628,4295,3603,,Binary search works on sorted arrays.,0.0,1.2,
7539,918,3413,10196.0,,0.0,0.0,
20317,2508,1450,4314.0,,0.0,0.0,
18454,2276,3223,9664.0,,1.0,2.0,
80569,10021,2149,6360.0,,1.0,2.0,
87006,10836,2002,5920.0,,0.0,0.0,Good effort.
65091,8091,421,1236.0,,0.0,0.0,
16792,2074,4391,13107.0,,1.0,1.0,
65626,8145,1377,4099.0,,0.0,0.0,
63082,7860,1167,3480.0,,0.0,0.0,
63531,7907,2753,8198.0,,0.0,0.0,
29929,3711,2344,6964.0,,1.0,2.0,
63238,7877,3545,10595.0,,1.0,1.0,
87412,10883,1904,5650.0,,1.0,2.0,Good effort.
43234,5355,1537,4579.0,,0.0,0.0,Good effort.
15931,1962,133,396.0,,0.0,0.0,
53026,6582,3820,11395.0,,0.0,0.0,
35737,4434,1402,,Stack overflow occurs when recursion is too deep.,0.0,4.7,
4535,539,1200,,Binary search works on sorted arrays.,1.0,1.9,
28229,3495,1100,3288.0,,1.0,2.0,
47153,5854,1241,3717.0,,1.0,2.0,
54377,6752,4044,12036.0,,0.0,0.0,
67214,8344,3609,,I believe it is the first option.,1.0,2.3,
47364,5880,564,1652.0,,0.0,0.0,
88814,11061,2758,8214.0,,1.0,5.0,
81020,10075,2568,7656.0,,0.0,0.0,
55957,6954,95,286.0,,1.0,1.0,Good effort.
49091,6090,444,1305.0,,0.0,0.0,
76337,9515,1749,5215.0,,1.0,3.0,
4488,534,4513,13440.0,,1.0,2.0,Good effort.
78507,9786,1995,5898.0,,1.0,1.0,
4964,590,1258,3754.0,,0.0,0.0,
20295,2505,598,1752.0,,1.0,2.0,
22987,2816,3580,10707.0,,1.0,3.0,
64744,8051,1711,5096.0,,0.0,0.0,
86605,10781,2440,7262.0,,1.0,2.0,Good effort.
4994,595,1694,5039.0,,0.0,0.0,
54877,6826,2597,7722.0,,1.0,3.0,
43788,5430,3996,11908.0,,0.0,0.0,
8363,1017,1128,3361.0,,1.0,2.0,
14762,1822,193,,Stack overflow occurs when recursion is too deep.,0.0,0.0,
79895,9945,1241,3718.0,,0.0,0.0,Good effort.
26968,3329,2994,8960.0,,1.0,3.0,
48553,6029,1309,3907.0,,1.0,2.0,
50586,6263,2249,6671.0,,0.0,0.0,
10289,1263,3590,10734.0,,0.0,0.0,Good effort.
15359,1893,4500,13408.0,,0.0,0.0,Good effort.
4844,577,2364,7025.0,,1.0,3.0,
33390,4144,2094,6186.0,,0.0,0.0,Good effort.
28651,3546,5064,15052.0,,1.0,2.0,
22537,2760,412,1220.0,,0.0,0.0,Good effort.
85455,10638,4157,12375.0,,1.0,2.0,Good effort.
10628,1309,3135,9412.0,,0.0,0.0,Good effort.
71015,8827,2876,8594.0,,0.0,0.0,
20706,2547,109,325.0,,0.0,0.0,
31648,3924,5278,15676.0,,0.0,0.0,
9559,1174,4146,12347.0,,0.0,0.0,
65268,8109,685,2013.0,,1.0,2.0,
52459,6504,4197,12493.0,,1.0,2.0,Good effort.
27101,3348,633,1853.0,,0.0,0.0,
85986,10710,733,,Binary search works on sorted arrays.,0.0,1.7,
17413,2151,2878,8602.0,,1.0,3.0,
87516,10897,2242,6646.0,,1.0,2.0,
29401,3651,4154,12367.0,,0.0,0.0,
6255,743,1379,4104.0,,0.0,0.0,
45100,5594,4444,13259.0,,1.0,1.0,
66496,8257,4066,12099.0,,0.0,0.0,
49280,6115,4627,13750.0,,0.0,0.0,
2933,350,4302,12821.0,,0.0,0.0,
19719,2432,1452,4320.0,,1.0,2.0,
41051,5072,424,1244.0,,0.0,0.0,Good effort.
15459,1906,110,332.0,,0.0,0.0,Good effort.
43797,5432,180,543.0,,0.0,0.0,
87931,10958,2807,,,-1.0,0.0,
30759,3817,5040,14965.0,,0.0,0.0,
72419,9010,2407,7164.0,,1.0,5.0,
43709,5420,4162,12385.0,,0.0,0.0,
42002,5193,1708,5084.0,,0.0,0.0,
33003,4095,2333,6936.0,,0.0,0.0,
71560,8903,5067,15057.0,,0.0,0.0,
63909,7948,4489,13383.0,,1.0,2.0,Good effort.
86389,10756,1312,,Binary search works on sorted arrays.,0.0,0.0,
1542,188,2439,,Binary search works on sorted arrays.,1.0,1.4,Good effort.
54865,6822,2102,6213.0,,0.0,0.0,Good effort.
56389,7004,1663,,The answer relates to the concept discussed.,1.0,2.5,Good effort.
27635,3419,4198,12497.0,,0.0,0.0,
29838,3701,1071,3205.0,,1.0,5.0,
54408,6757,563,,The answer relates to the concept discussed.,1.0,0.3,
2789,335,699,,,-1.0,0.0,
8777,1070,4295,12803.0,,0.0,0.0,
47922,5952,5039,14961.0,,0.0,0.0,
39146,4841,2146,,Binary search works on sorted arrays.,0.0,0.9,
12489,1556,5127,15248.0,,0.0,0.0,
63255,7879,1465,,I believe it is the first option.,0.0,0.6,
21122,2588,4387,13095.0,,0.0,0.0,
48320,5998,1432,4269.0,,0.0,0.0,
30068,3726,2394,7114.0,,1.0,3.0,
26230,3234,769,2268.0,,0.0,0.0,
12678,1577,4149,12357.0,,0.0,0.0,
47377,5882,4631,13768.0,,0.0,0.0,
36951,4584,2091,,,-1.0,0.0,
49860,6181,2751,8189.0,,0.0,0.0,
70895,8811,475,1400.0,,0.0,0.0,
35948,4461,4012,11947.0,,1.0,2.0,Good effort.
37842,4687,2089,6172.0,,0.0,0.0,
