Id,QuizId,QuestionText,QuestionTextAr,QuestionType,Marks,Explanation,ExplanationAr,SortOrder,ImageUrl
3410,1408,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,ShortAnswer,2,Because Bubble Sort is correct.,,9,
3785,1575,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,ShortAnswer,1,Because Network Layer is correct.,,7,
3651,1526,Which sorting algorithm has worst-case O(n²)?,,ShortAnswer,1,Because Bubble Sort is correct.,,7,
1026,475,What is normalization in databases?,ترجمة: What is normalization in datab,TrueFalse,3,,,2,
609,287,What does OOP stand for?,,MCQ,2,Because Object Oriented Programming is correct.,الشرح بالعربية,4,
1101,524,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,TrueFalse,1,,,7,
1046,498,Overfitting in ML means?,,TrueFalse,5,"Because Good on training, poor on test data is correct.",,2,/uploads/questions/e8622315-390a-4da2-9067-30de191dd461.png
1430,642,Which OSI layer handles routing?,,TrueFalse,5,Because Network Layer is correct.,,3,
2905,1203,Overfitting in ML means?,,MCQ,1,,,7,
753,344,Which data structure uses LIFO?,,MCQ,3,,,12,/uploads/questions/83daf6df-d049-4ec6-a223-80e023cc95d9.png
2696,1123,Overfitting in ML means?,,MCQ,2,,,2,
4905,2049,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,TrueFalse,2,,,5,
2314,983,What does API stand for?,,ShortAnswer,5,Because Application Programming Interface is correct.,,6,
4935,2068,Which algorithm underlies RSA?,,MCQ,2,,الشرح بالعربية,7,
884,423,Which protocol is stateless?,,MCQ,3,Because HTTP is correct.,,4,
3850,1599,Which algorithm underlies RSA?,,MCQ,2,Because Public Key Cryptography is correct.,الشرح بالعربية,5,
4193,1739,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,2,Because 8 is correct.,,6,/uploads/questions/5c73c4aa-8e67-4f96-a8a1-5177df076628.png
668,306,What does OOP stand for?,,TrueFalse,2,Because Object Oriented Programming is correct.,,14,
1413,637,Overfitting in ML means?,,MCQ,2,,,7,
3506,1463,What is the time complexity of binary search?,,MCQ,2,Because O(log n) is correct.,,6,
2050,873,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,1,,,7,
3614,1508,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,ShortAnswer,5,,,8,
4576,1924,Which OSI layer handles routing?,,ShortAnswer,2,Because Network Layer is correct.,الشرح بالعربية,1,
1389,631,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,2,Because 8 is correct.,,2,
352,153,Which algorithm underlies RSA?,,ShortAnswer,2,Because Public Key Cryptography is correct.,,7,
1948,831,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,2,,,3,
1271,596,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,3,,,4,
4816,2011,What does API stand for?,ترجمة: What does API stand for?,MCQ,2,,,11,
4903,2049,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,,,3,
2797,1161,What does OOP stand for?,ترجمة: What does OOP stand for?,TrueFalse,2,Because Object Oriented Programming is correct.,,1,
321,151,What does OOP stand for?,,TrueFalse,1,Because Object Oriented Programming is correct.,الشرح بالعربية,1,
1376,624,What is a deadlock?,,ShortAnswer,2,,الشرح بالعربية,5,/uploads/questions/837f8127-5684-4e9e-ac90-90dbe707b8ec.png
3222,1351,Which OSI layer handles routing?,,MCQ,5,Because Network Layer is correct.,,1,
795,389,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,2,"Because Good on training, poor on test data is correct.",,2,
4812,2011,Which protocol is stateless?,,MCQ,5,Because HTTP is correct.,,7,
2662,1112,Which sorting algorithm has worst-case O(n²)?,,MCQ,3,Because Bubble Sort is correct.,,2,
4187,1736,What is normalization in databases?,,MCQ,1,Because Reducing data redundancy is correct.,,8,
4618,1932,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,2,,الشرح بالعربية,2,/uploads/questions/a9851544-90a5-410d-ac26-abb8a45fb10d.png
2235,948,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,5,Because Public Key Cryptography is correct.,الشرح بالعربية,10,
2466,1055,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,1,,,3,
647,296,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,3,,الشرح بالعربية,3,/uploads/questions/7a128c66-b14f-480f-ac49-e5186789c26b.png
3013,1246,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,3,,,2,
3091,1292,What does OOP stand for?,,MCQ,2,Because Object Oriented Programming is correct.,,5,
2012,850,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,MCQ,5,,,5,
4706,1972,What is a foreign key?,,TrueFalse,2,Because References a primary key in another table is correct.,,2,
573,279,Which sorting algorithm has worst-case O(n²)?,,TrueFalse,3,Because Bubble Sort is correct.,الشرح بالعربية,7,
2449,1046,What is a foreign key?,ترجمة: What is a foreign key?,ShortAnswer,5,Because References a primary key in another table is correct.,,2,
2689,1119,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,Because Public Key Cryptography is correct.,,2,
3278,1360,Which is NOT a supervised learning algorithm?,,MCQ,2,Because K-Means is correct.,,4,
1698,745,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,3,,,7,
2792,1158,What is the time complexity of binary search?,,MCQ,2,,,5,
5103,2144,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,3,Because 8 is correct.,الشرح بالعربية,1,
1276,599,What does SQL stand for?,,MCQ,2,,الشرح بالعربية,1,
3044,1258,Which sorting algorithm has worst-case O(n²)?,,MCQ,2,Because Bubble Sort is correct.,,3,
5341,43,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,MCQ,3,Because K-Means is correct.,الشرح بالعربية,11,
2728,1148,What does API stand for?,,MCQ,5,,,5,
2495,1063,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,2,,,3,
4176,1733,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,5,Because Reducing data redundancy is correct.,,11,
3324,1371,Which algorithm underlies RSA?,,MCQ,2,Because Public Key Cryptography is correct.,,6,
3796,1580,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,ShortAnswer,3,,,6,
4637,1938,Output of 2**3 in Python?,,MCQ,3,Because 8 is correct.,,2,
3423,1424,Which protocol is stateless?,,TrueFalse,3,,,7,
2718,1142,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,TrueFalse,2,Because 8 is correct.,الشرح بالعربية,8,
2811,1164,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,5,Because References a primary key in another table is correct.,,9,
82,26,What does API stand for?,ترجمة: What does API stand for?,TrueFalse,5,,,10,
1523,678,What is a deadlock?,ترجمة: What is a deadlock?,MCQ,1,Because Two processes waiting for each other is correct.,,8,
4157,1732,What does OOP stand for?,,MCQ,2,,الشرح بالعربية,4,
4552,1918,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,5,,,7,
1939,826,Which is NOT a supervised learning algorithm?,,TrueFalse,5,Because K-Means is correct.,,3,
3252,1353,Which algorithm underlies RSA?,,TrueFalse,3,,,3,
1149,546,Which protocol is stateless?,,MCQ,1,Because HTTP is correct.,الشرح بالعربية,3,
3605,1505,Which OSI layer handles routing?,,TrueFalse,1,,,6,/uploads/questions/869255cd-0763-4c1c-8fc6-87565b3120ec.png
4850,2018,Which protocol is stateless?,,ShortAnswer,1,,,5,
35,16,Which protocol is stateless?,,MCQ,1,,الشرح بالعربية,5,
33,16,What is a deadlock?,ترجمة: What is a deadlock?,ShortAnswer,1,,الشرح بالعربية,3,
4802,2005,What does API stand for?,ترجمة: What does API stand for?,MCQ,1,,,9,
4496,1890,Overfitting in ML means?,ترجمة: Overfitting in ML means?,ShortAnswer,1,"Because Good on training, poor on test data is correct.",,1,
4184,1736,What does API stand for?,,MCQ,3,,الشرح بالعربية,5,
3024,1250,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,2,,,4,
495,222,Output of 2**3 in Python?,,TrueFalse,5,,,11,
4252,1768,Which protocol is stateless?,,MCQ,1,Because HTTP is correct.,,10,
2947,1226,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,5,,,4,
3630,1514,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,1,Because Reducing data redundancy is correct.,,7,
2386,1015,What does API stand for?,ترجمة: What does API stand for?,MCQ,2,Because Application Programming Interface is correct.,,2,
4310,1793,Overfitting in ML means?,,MCQ,2,"Because Good on training, poor on test data is correct.",الشرح بالعربية,5,
4740,1987,Which sorting algorithm has worst-case O(n²)?,,ShortAnswer,2,Because Bubble Sort is correct.,,6,/uploads/questions/16b52d24-f942-44d6-9d06-3bf40c017b35.png
1775,784,What does OOP stand for?,,MCQ,2,Because Object Oriented Programming is correct.,,6,
1693,745,What does SQL stand for?,ترجمة: What does SQL stand for?,ShortAnswer,5,Because Structured Query Language is correct.,الشرح بالعربية,2,
3090,1292,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,ShortAnswer,1,,,4,
5045,2124,Which protocol is stateless?,,MCQ,1,Because HTTP is correct.,الشرح بالعربية,12,/uploads/questions/1661532e-2822-4f3d-97aa-6a12ee96fbe3.png
2969,1233,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,5,Because Object Oriented Programming is correct.,,1,
1330,612,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,2,Because O(log n) is correct.,,11,
2804,1164,Overfitting in ML means?,,MCQ,3,,,2,/uploads/questions/0a51a850-34c7-46a3-8f54-277eb61b5563.png
2434,1040,What is a foreign key?,ترجمة: What is a foreign key?,TrueFalse,5,,,11,
3479,1456,What is normalization in databases?,,MCQ,2,Because Reducing data redundancy is correct.,الشرح بالعربية,1,
2622,1098,What does SQL stand for?,,MCQ,5,,,2,
304,148,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,5,,الشرح بالعربية,10,/uploads/questions/06c4cb18-b640-481b-b2e3-8716a939f473.png
2368,1008,What does OOP stand for?,,MCQ,3,,,6,
3754,1570,Output of 2**3 in Python?,,MCQ,2,,,4,
1817,795,What is normalization in databases?,,TrueFalse,2,Because Reducing data redundancy is correct.,الشرح بالعربية,2,
3441,1434,What is a foreign key?,ترجمة: What is a foreign key?,TrueFalse,3,,,1,
2052,874,Which protocol is stateless?,,TrueFalse,2,,,2,
3967,1638,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,MCQ,3,Because Stack is correct.,الشرح بالعربية,12,
4503,1890,Which OSI layer handles routing?,,TrueFalse,3,Because Network Layer is correct.,الشرح بالعربية,8,
540,263,What does API stand for?,ترجمة: What does API stand for?,TrueFalse,5,Because Application Programming Interface is correct.,الشرح بالعربية,3,
2465,1055,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,,الشرح بالعربية,2,
1404,636,What is a foreign key?,,MCQ,2,Because References a primary key in another table is correct.,,8,
2580,1081,Which OSI layer handles routing?,,MCQ,1,Because Network Layer is correct.,,6,
833,406,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,TrueFalse,2,,الشرح بالعربية,1,/uploads/questions/d0c79761-dab1-4826-bf34-20e6a8947b87.png
1183,559,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,5,,الشرح بالعربية,1,
3426,1424,What is normalization in databases?,ترجمة: What is normalization in datab,ShortAnswer,3,Because Reducing data redundancy is correct.,,10,/uploads/questions/1cbd325e-ec61-47b2-973b-f6dc5eb4b3f2.png
5267,2211,What is normalization in databases?,ترجمة: What is normalization in datab,MCQ,2,,,1,/uploads/questions/9979ff62-1b7d-4d6d-b5c9-badb2572e5ee.png
2600,1089,What is the time complexity of binary search?,,MCQ,2,,,4,/uploads/questions/a71a7fcf-4902-4c81-b229-175073a5a399.png
3831,1590,What is normalization in databases?,,MCQ,5,,,2,
2549,1079,Which is NOT a supervised learning algorithm?,,MCQ,1,Because K-Means is correct.,,2,
4543,1916,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,2,,الشرح بالعربية,1,
4448,1864,Which data structure uses LIFO?,,MCQ,5,Because Stack is correct.,,9,
4861,2040,What does OOP stand for?,,MCQ,1,,الشرح بالعربية,1,
3908,1610,What does OOP stand for?,ترجمة: What does OOP stand for?,ShortAnswer,2,,,1,
2351,1007,Which algorithm underlies RSA?,,MCQ,1,Because Public Key Cryptography is correct.,,1,
4197,1739,What is a foreign key?,ترجمة: What is a foreign key?,TrueFalse,2,Because References a primary key in another table is correct.,,10,/uploads/questions/0f8afc19-1010-4c7d-b49d-f417123b4a15.png
1877,815,Which data structure uses LIFO?,,TrueFalse,2,Because Stack is correct.,,1,
1799,788,What does SQL stand for?,,ShortAnswer,1,,,8,
1714,756,What is a deadlock?,,MCQ,5,,,1,
2288,970,Which protocol is stateless?,,MCQ,1,Because HTTP is correct.,الشرح بالعربية,1,
2427,1040,What is normalization in databases?,,ShortAnswer,5,Because Reducing data redundancy is correct.,,4,
2695,1123,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,3,"Because Good on training, poor on test data is correct.",,1,
2451,1046,Which OSI layer handles routing?,,MCQ,3,,الشرح بالعربية,4,
3670,1534,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,3,Because O(log n) is correct.,,1,
1787,785,What does OOP stand for?,ترجمة: What does OOP stand for?,ShortAnswer,2,,,7,
275,141,What is normalization in databases?,,TrueFalse,2,,,6,
2077,886,Which algorithm underlies RSA?,,ShortAnswer,5,,الشرح بالعربية,15,
2846,1176,Which sorting algorithm has worst-case O(n²)?,,MCQ,2,Because Bubble Sort is correct.,,9,
1392,632,What does SQL stand for?,,MCQ,3,Because Structured Query Language is correct.,,2,
690,327,What does SQL stand for?,,TrueFalse,1,Because Structured Query Language is correct.,الشرح بالعربية,7,
1024,473,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,TrueFalse,5,,الشرح بالعربية,7,
71,25,Overfitting in ML means?,,TrueFalse,5,,الشرح بالعربية,13,
955,446,What does OOP stand for?,,MCQ,5,,,1,/uploads/questions/1590b31f-5145-4de6-9d1f-966ea4f3cd4f.png
3054,1259,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,1,,,9,
2724,1148,What does API stand for?,ترجمة: What does API stand for?,MCQ,1,,,1,
340,152,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,3,,,10,
3383,1393,What is normalization in databases?,,MCQ,3,,,4,
763,350,Which data structure uses LIFO?,,MCQ,3,Because Stack is correct.,الشرح بالعربية,9,
306,148,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,2,Because References a primary key in another table is correct.,,12,
2372,1008,What does SQL stand for?,,MCQ,3,,,10,/uploads/questions/8f1b7800-ba19-45b5-b653-a672bcfb5cdb.png
5146,2160,Which algorithm underlies RSA?,,TrueFalse,5,Because Public Key Cryptography is correct.,,1,
4294,1789,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,ShortAnswer,5,Because Public Key Cryptography is correct.,,2,/uploads/questions/a268503d-1a9d-453a-94f8-aef0c0d69342.png
3511,1467,What does API stand for?,,ShortAnswer,5,Because Application Programming Interface is correct.,,1,
3132,1314,Output of 2**3 in Python?,,ShortAnswer,1,,,3,
850,407,Which protocol is stateless?,,MCQ,2,,,11,
4563,1919,What is a deadlock?,,MCQ,2,Because Two processes waiting for each other is correct.,الشرح بالعربية,8,/uploads/questions/1fdaddfb-eaa6-42e3-9d9a-efda1f3f1ecd.png
3319,1371,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,2,,الشرح بالعربية,1,
3431,1428,What is a foreign key?,,ShortAnswer,3,Because References a primary key in another table is correct.,,2,
205,90,Which algorithm underlies RSA?,,MCQ,2,Because Public Key Cryptography is correct.,الشرح بالعربية,9,
1022,473,Which protocol is stateless?,,MCQ,2,,,5,
3795,1580,What does SQL stand for?,,MCQ,2,,الشرح بالعربية,5,
3216,1347,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,5,,الشرح بالعربية,9,
312,150,What does API stand for?,,TrueFalse,1,Because Application Programming Interface is correct.,,5,
3635,1523,What does SQL stand for?,,MCQ,1,Because Structured Query Language is correct.,,5,/uploads/questions/63983b88-2f6e-4b88-8e4c-9d4e0272c747.png
